REGIÓN,COMUNA,BIENESTAR,ECONOMÍA,EDUCACIÓN,IDC,RANKING,RANGOS
RM,MELIPILLA,0.8684,0.1199,0.7241,0.4225,104,Medio
MAULE,CONSTITUCIÓN,0.8389,0.1133,0.7811,0.4202,105,Medio
LOS LAGOS,FRUTILLAR,0.8002,0.1259,0.7362,0.4201,106,Medio
LOS LAGOS,PALENA,0.7006,0.1676,0.6279,0.4193,107,Medio
ARAUCANÍA,VICTORIA,0.7142,0.1540,0.6694,0.4191,108,Medio
RM,PAINE,0.8682,0.1154,0.7316,0.4185,109,Medio
O'HIGGINS,GRANEROS,0.9056,0.1363,0.5922,0.4181,110,Medio
O'HIGGINS,PICHILEMU,0.8645,0.1200,0.7037,0.4179,111,Medio
AYSÉN,COCHRANE,0.8613,0.1415,0.5974,0.4176,112,Medio
LOS LAGOS,ANCUD,0.6989,0.1478,0.7046,0.4175,113,Medio
O'HIGGINS,RENGO,0.8753,0.1175,0.6919,0.4143,114,Medio
BIOBÍO,NACIMIENTO,0.7796,0.1281,0.7069,0.4133,115,Medio
VALPARAÍSO,ALGARROBO,0.8111,0.1348,0.6382,0.4117,116,Medio
TARAPACÁ,ALTO HOSPICIO,0.8664,0.1183,0.6803,0.4115,117,Medio
ARAUCANÍA,VILLARRICA,0.7300,0.1215,0.7848,0.4113,118,Medio
MAULE,CAUQUENES,0.7719,0.1302,0.6869,0.4102,119,Medio
BIOBÍO,CABRERO,0.8034,0.1222,0.6892,0.4074,120,Medio
ARAUCANÍA,PUCÓN,0.7521,0.1279,0.6950,0.4059,121,Medio
RM,LO PRADO,0.9103,0.1177,0.6231,0.4057,122,Medio
AYSÉN,GUAITECAS,0.8524,0.1204,0.6505,0.4057,123,Medio
BIOBÍO-ÑUBLE,SAN CARLOS,0.8100,0.1168,0.7026,0.4051,124,Medio
BIOBÍO,HUALQUI,0.7989,0.1265,0.6502,0.4035,125,Medio
VALPARAÍSO,RINCONADA,0.8650,0.1136,0.6448,0.3987,126,Medio
AYSÉN,CHILE CHICO,0.8842,0.1216,0.5821,0.3970,127,Medio
ANTOFAGASTA,MEJILLONES,0.8755,0.1268,0.5601,0.3962,128,Medio
LOS LAGOS,LLANQUIHUE,0.8024,0.1207,0.6266,0.3930,129,Medio
BIOBÍO,LOS ÁLAMOS,0.7999,0.1223,0.6178,0.3924,130,Medio
VALPARAÍSO,SAN ESTEBAN,0.8689,0.1250,0.5556,0.3922,131,Medio
VALPARAÍSO,CABILDO,0.8497,0.1033,0.6851,0.3917,132,Medio
RM,LO ESPEJO,0.9168,0.1088,0.5995,0.3910,133,Medio
ANTOFAGASTA,TALTAL,0.8169,0.1304,0.5594,0.3906,134,Medio
LOS LAGOS,PURRANQUE,0.7885,0.1108,0.6680,0.3879,135,Medio
O'HIGGINS,MOSTAZAL,0.8506,0.1176,0.5691,0.3847,136,Medio
VALPARAÍSO,LA LIGUA,0.8137,0.1083,0.6430,0.3841,137,Medio bajo
MAULE,ROMERAL,0.7872,0.1063,0.6710,0.3829,138,Medio bajo
RM,CURACAVÍ,0.8307,0.0943,0.7158,0.3827,139,Medio bajo
VALPARAÍSO,PANQUEHUE,0.8291,0.0952,0.7061,0.3820,140,Medio bajo
BIOBÍO,CAÑETE,0.7145,0.1126,0.6925,0.3820,141,Medio bajo
VALPARAÍSO,QUINTERO,0.7947,0.1062,0.6561,0.3812,142,Medio bajo
VALPARAÍSO,NOGALES,0.8701,0.1020,0.6198,0.3803,143,Medio bajo
MAULE,SAN JAVIER,0.7629,0.1051,0.6789,0.3790,144,Medio bajo
BIOBÍO,MULCHÉN,0.7739,0.1176,0.5975,0.3789,145,Medio bajo
BIOBÍO-ÑUBLE,CHILLÁN VIEJO,0.8153,0.1023,0.6479,0.3780,146,Medio bajo
MAGALLANES,LAGUNA BLANCA,0.6882,0.1523,0.5121,0.3772,147,Medio bajo
RM,PIRQUE,0.8501,0.0926,0.6734,0.3756,148,Medio bajo
ARAUCANÍA,LAUTARO,0.7198,0.1170,0.6239,0.3746,149,Medio bajo
ANTOFAGASTA,MARÍA ELENA,0.9335,0.0903,0.6230,0.3745,150,Medio bajo
RM,TILTIL,0.8052,0.1107,0.5868,0.3740,151,Medio bajo
VALPARAÍSO,LLAILLAY,0.8868,0.0885,0.6659,0.3739,152,Medio bajo
MAULE,MOLINA,0.8722,0.0930,0.6444,0.3739,153,Medio bajo
RM,CERRO NAVIA,0.8996,0.0942,0.6143,0.3734,154,Medio bajo
RM,SAN JOSÉ DE MAIPO,0.6855,0.1182,0.6413,0.3732,155,Medio bajo
ARAUCANÍA,COLLIPULLI,0.7038,0.1156,0.6379,0.3730,156,Medio bajo
BIOBÍO-ÑUBLE,COELEMU,0.6765,0.1084,0.6992,0.3715,157,Medio bajo
O'HIGGINS,PEUMO,0.8278,0.0967,0.6392,0.3713,158,Medio bajo
LOS RÍOS,RÍO BUENO,0.6460,0.1161,0.6801,0.3709,159,Medio bajo
BIOBÍO,TUCAPEL,0.8143,0.0982,0.6361,0.3706,160,Medio bajo
ATACAMA,CHAÑARAL,0.8379,0.0977,0.6094,0.3681,161,Medio bajo
O'HIGGINS,REQUÍNOA,0.8915,0.0888,0.6273,0.3676,162,Medio bajo
AYSÉN,RÍO IBÁÑEZ,0.8124,0.1112,0.5461,0.3668,163,Medio bajo
ATACAMA,CALDERA,0.8466,0.0901,0.6406,0.3656,164,Medio bajo
O'HIGGINS,DOÑIHUE,0.8787,0.0809,0.6851,0.3652,165,Medio bajo
O'HIGGINS,CODEGUA,0.8775,0.0952,0.5792,0.3644,166,Medio bajo
BIOBÍO-ÑUBLE,YUNGAY,0.7409,0.0939,0.6953,0.3644,167,Medio bajo
VALPARAÍSO,EL QUISCO,0.8996,0.0851,0.6308,0.3641,168,Medio bajo
RM,ISLA DE MAIPO,0.8313,0.0907,0.6366,0.3634,169,Medio bajo
LOS RÍOS,PAILLACO,0.7143,0.1011,0.6610,0.3628,170,Medio bajo
LOS LAGOS,QUELLÓN,0.6246,0.1146,0.6645,0.3623,171,Medio bajo
VALPARAÍSO,JUAN FERNÁNDEZ,0.9071,0.0755,0.6855,0.3608,172,Medio bajo
VALPARAÍSO,HIJUELAS,0.8124,0.0934,0.6182,0.3607,173,Medio bajo
MAGALLANES,CABO DE HORNOS,0.9537,0.0766,0.6420,0.3606,174,Medio bajo
RM,LA PINTANA,0.8924,0.0842,0.6228,0.3604,175,Medio bajo
VALPARAÍSO,PAPUDO,0.9009,0.0847,0.6118,0.3601,176,Medio bajo
VALPARAÍSO,SANTA MARÍA,0.8671,0.0897,0.5999,0.3599,177,Medio bajo
COQUIMBO,ILLAPEL,0.8036,0.0859,0.6717,0.3593,178,Medio bajo
BIOBÍO-ÑUBLE,BULNES,0.7638,0.0914,0.6640,0.3592,179,Medio bajo
O'HIGGINS,OLIVAR,0.8727,0.0807,0.6497,0.3577,180,Medio bajo
VALPARAÍSO,CARTAGENA,0.8513,0.0817,0.6535,0.3568,181,Medio bajo
VALPARAÍSO,CALLE LARGA,0.8104,0.0784,0.7095,0.3559,182,Medio bajo
O'HIGGINS,NANCAGUA,0.8711,0.0742,0.6956,0.3556,183,Medio bajo
MAULE,MAULE,0.8704,0.0777,0.6645,0.3556,184,Medio bajo
MAULE,TENO,0.8101,0.0792,0.7000,0.3554,185,Medio bajo
AYSÉN,TORTEL,0.5835,0.1154,0.6581,0.3538,186,Medio bajo
LOS LAGOS,CHONCHI,0.5960,0.1049,0.7047,0.3532,187,Medio bajo
RM,EL MONTE,0.8649,0.0854,0.5909,0.3522,188,Medio bajo
O'HIGGINS,CHIMBARONGO,0.8131,0.0784,0.6811,0.3515,189,Medio bajo
VALPARAÍSO,PUCHUNCAVÍ,0.7035,0.1042,0.5904,0.3511,190,Medio bajo
ARAUCANÍA,TRAIGUÉN,0.7120,0.0888,0.6792,0.3502,191,Medio bajo
ANTOFAGASTA,SAN PEDRO DE ATACAMA,0.7268,0.0941,0.6262,0.3499,192,Medio bajo
LOS RÍOS,LANCO,0.7211,0.0950,0.6236,0.3495,193,Medio bajo
LOS LAGOS,RÍO NEGRO,0.6618,0.0963,0.6659,0.3488,194,Medio bajo
ARAUCANÍA,PITRUFQUÉN,0.7678,0.0788,0.7017,0.3488,195,Medio bajo
BIOBÍO,LAJA,0.7383,0.0831,0.6919,0.3488,196,Medio bajo
COQUIMBO,SALAMANCA,0.8089,0.0845,0.6206,0.3487,197,Medio bajo
BIOBÍO,SANTA BÁRBARA,0.7053,0.1037,0.5770,0.3481,198,Medio bajo
COQUIMBO,LOS VILOS,0.8110,0.0806,0.6429,0.3477,199,Medio bajo
TARAPACÁ,POZO ALMONTE,0.7550,0.0953,0.5812,0.3471,200,Medio bajo
VALPARAÍSO,EL TABO,0.7116,0.0983,0.5940,0.3464,201,Medio bajo
LOS RÍOS,MÁFIL,0.6808,0.0985,0.6145,0.3455,202,Medio bajo
COQUIMBO,VICUÑA,0.8554,0.0740,0.6370,0.3429,203,Medio bajo
O'HIGGINS,PERALILLO,0.8605,0.0766,0.6101,0.3426,204,Medio bajo
O'HIGGINS,QUINTA DE TILCOCO,0.8273,0.0728,0.6607,0.3415,205,Medio bajo
LOS LAGOS,CHAITÉN,0.6078,0.1127,0.5693,0.3392,206,Medio bajo
MAULE,SAN CLEMENTE,0.7802,0.0772,0.6432,0.3384,207,Medio bajo
LOS RÍOS,PANGUIPULLI,0.5485,0.1033,0.6770,0.3372,208,Medio bajo
VALPARAÍSO,OLMUÉ,0.7414,0.0887,0.5819,0.3369,209,Medio bajo
O'HIGGINS,LAS CABRAS,0.7823,0.0753,0.6434,0.3359,210,Medio bajo
LOS RÍOS,MARIQUINA,0.6875,0.0850,0.6385,0.3341,211,Medio bajo
ARAUCANÍA,GORBEA,0.7458,0.0853,0.5860,0.3341,212,Medio bajo
AYSÉN,O'HIGGINS,0.7503,0.0871,0.5690,0.3338,213,Medio bajo
ATACAMA,HUASCO,0.8378,0.0755,0.5866,0.3335,214,Medio bajo
LOS LAGOS,DALCAHUE,0.5853,0.1051,0.5960,0.3322,215,Medio bajo
