REGIÓN,COMUNA,BIENESTAR,ECONOMÍA,EDUCACIÓN,IDC,RANKING,RANGOS
BIOBÍO,QUILLECO,0.6637,0.0422,0.5625,0.2506,311,Bajo
O'HIGGINS,PAREDONES,0.6692,0.0391,0.5987,0.2502,312,Bajo
LOS LAGOS,PUQUELDÓN,0.4572,0.0546,0.6121,0.2481,313,Bajo
ARAUCANÍA,LOS SAUCES,0.6115,0.0412,0.6013,0.2475,314,Bajo
BIOBÍO-ÑUBLE,EL CARMEN,0.4764,0.0524,0.6010,0.2467,315,Bajo
BIOBÍO-ÑUBLE,PORTEZUELO,0.5408,0.0423,0.6160,0.2415,316,Bajo
MAULE,CUREPTO,0.6696,0.0324,0.6432,0.2407,317,Bajo
COQUIMBO,RÍO HURTADO,0.7163,0.0331,0.5525,0.2358,318,Bajo
MAULE,CHANCO,0.5545,0.0428,0.5465,0.2349,319,Bajo
O'HIGGINS,NAVIDAD,0.7221,0.0293,0.6066,0.2343,320,Bajo
TARAPACÁ,HUARA,0.5830,0.0416,0.5284,0.2340,321,Bajo
TARAPACÁ,CAMIÑA,0.4806,0.0438,0.6085,0.2339,322,Bajo
LOS LAGOS,COCHAMÓ,0.3982,0.0524,0.5877,0.2306,323,Bajo
BIOBÍO,TIRÚA,0.4762,0.0419,0.5902,0.2275,324,Bajo
ARAUCANÍA,TEODORO SCHMIDT,0.4981,0.0388,0.6051,0.2270,325,Bajo
ARAUCANÍA,TOLTÉN,0.4151,0.0467,0.6009,0.2266,326,Bajo
ARAUCANÍA,CURARREHUE,0.4646,0.0403,0.5738,0.2207,327,Bajo
ARAUCANÍA,LUMACO,0.4588,0.0397,0.5478,0.2152,328,Bajo
ARAUCANÍA,MELIPEUCO,0.6065,0.0261,0.6086,0.2127,329,Bajo
ARAUCANÍA,ERCILLA,0.4920,0.0328,0.5852,0.2115,330,Bajo
ARICA Y PARINACOTA,CAMARONES,0.3901,0.0556,0.4317,0.2108,331,Bajo
COQUIMBO,CANELA,0.5230,0.0283,0.5978,0.2069,332,Bajo
ARAUCANÍA,LONQUIMAY,0.3793,0.0425,0.5360,0.2053,333,Bajo
BIOBÍO-ÑUBLE,TREGUACO,0.5501,0.0273,0.5626,0.2036,334,Bajo
BIOBÍO-ÑUBLE,COBQUECURA,0.4081,0.0325,0.5775,0.1971,335,Bajo
BIOBÍO-ÑUBLE,NINHUE,0.4033,0.0275,0.6622,0.1943,336,Bajo
ARAUCANÍA,GALVARINO,0.3140,0.0398,0.5742,0.1928,337,Bajo
ARAUCANÍA,CHOLCHOL,0.3722,0.0288,0.5922,0.1851,338,Bajo
TARAPACÁ,COLCHANE,0.3860,0.0301,0.4912,0.1787,339,Bajo
ARAUCANÍA,SAAVEDRA,0.3374,0.0283,0.5742,0.1764,340,Bajo
BIOBÍO,ALTO BIOBÍO,0.2206,0.0369,0.4890,0.1584,341,Bajo
ARICA Y PARINACOTA,GENERAL LAGOS,0.2656,0.0220,0.5127,0.1443,342,Bajo
LOS LAGOS,SAN JUAN DE LA COSTA,0.1866,0.0222,0.6057,0.1359,343,Bajo
MAGALLANES,RÍO VERDE,0.5461,0.0417,0.0263,0.0844,344,Bajo
MAGALLANES,TIMAUKEL,0.6341,0.0658,0.0010,0.0347,345,Bajo
