,Codigo_region,Codigo_provincia,Codigo_comuna,PERSONAS,HOMBRES,MUJERES,EDAD_0A5,EDAD_6A14,EDAD_15A64,EDAD_65YMAS,INMIGRANTES,LugarNacimiento_Enestacomuna,LugarNacimiento_Enotracomuna,LugarNacimiento_Peru,LugarNacimiento_Argentina,LugarNacimiento_Bolivia,LugarNacimiento_Ecuador,LugarNacimiento_Colombia,LugarNacimiento_Otro,LugarNacimiento_Missing,EducacionFormal_Si,EducacionFormal_Noasisteactualmente,EducacionFormal_Nuncaasistio,EducacionFormal_Missing,UltimoAñoEscolarAprobado_0,UltimoAñoEscolarAprobado_1°,UltimoAñoEscolarAprobado_2°,UltimoAñoEscolarAprobado_3°,UltimoAñoEscolarAprobado_4°,UltimoAñoEscolarAprobado_5°,UltimoAñoEscolarAprobado_6°,UltimoAñoEscolarAprobado_7°,UltimoAñoEscolarAprobado_8°,UltimoAñoEscolarAprobado_Noaplica,UltimoAñoEscolarAprobado_Missing,NivelEducacional_SalaCuna_JardinInfantil,NivelEducacional_Prekinder,NivelEducacional_Kinder,NivelEducacional_Especial_Diferencial,NivelEducacional_EducacionBasica,NivelEducacional_Primaria_Preparatorio,NivelEducacional_CientificoHumanista,NivelEducacional_TecnicaProfesional,NivelEducacional_Humanidades,NivelEducacional_Tecnica_ComercialIndustrialNormalista,NivelEducacional_TecnicoSuperior,NivelEducacional_Profesional,NivelEducacional_Magister,NivelEducacional_Doctorado,NivelEducacional_Noaplica,NivelEducacional_Missing,NivelEducacionalCompleto_Si,NivelEducacionalCompleto_No,NivelEducacionalCompleto_Noaplica,NivelEducacionalCompleto_Missing,PertenenciaComunidadIndigena_Si,PertenenciaComunidadIndigena_No,PertenenciaComunidadIndigena_Missing,ComunidadIndigena_Mapuche,ComunidadIndigena_Aymara,ComunidadIndigena_RapaNui,ComunidadIndigena_LicanAntai,ComunidadIndigena_Quechua,ComunidadIndigena_Colla,ComunidadIndigena_Diaguita,ComunidadIndigena_Kawesqar,ComunidadIndigena_YaganoYamana,ComunidadIndigena_OtroPueblo,ComunidadIndigena_Noaplica,ComunidadIndigena_Missing,TrabajoSemanaAnterior_PorPago,TrabajoSemanaAnterior_SinPago,TrabajoSemanaAnterior_Empleado_VacacionesLicenciaDescanso,TrabajoSemanaAnterior_BuscandoEmpleo,TrabajoSemanaAnterior_Estudiando,TrabajoSemanaAnterior_QuehaceresHogar,TrabajoSemanaAnterior_Jubilado_Pensionado_Rentista,TrabajoSemanaAnterior_OtraSituacion,TrabajoSemanaAnterior_NoAplica,TrabajoSemanaAnterior_Missing,ActividadEconomica_Agricultura_Ganaderia_Silvicultura_Pesca,ActividadEconomica_ExplotacionMinas_Canteras,ActividadEconomica_Industrias_Manufactureras,ActividadEconomica_SuministroElectricidad_Gas_Vapor_AireAcondicionado,ActividadEconomica_SuministroAgua_EvacuacionAguasResiduales_GestionDesechosDescontaminacion,ActividadEconomica_Construccion,ActividadEconomica_Comercio_ReparacionVehiculosAutomotoresMotocicletas,ActividadEconomica_Transporte_Almacenamiento,ActividadEconomica_ActividadesAlojamiento_ServiciosComidas,ActividadEconomica_Informacion_Comunicaciones,ActividadEconomica_ActividadesFinancieras_Seguros,ActividadEconomica_ActividadesInmobiliarias,ActividadEconomica_ActividadesProfesionales_Cientificas_Tecnicas,ActividadEconomica_ActividadesServiciosAdministrativos_Apoyo,ActividadEconomica_AdministracionPublica_Defensa_PlanesSeguirdadSocialAfiliacionObligatoria,ActividadEconomica_Ensenanza,ActividadEconomica_ActividadesAtencionSaludHumana_AsistenciaSocial,ActividadEconomica_ActividadesArtisticas_Entretenimiento_Recreativas,ActividadEconomica_OtrasActividadesServicios,ActividadEconomica_ActividadesHogaresComoEmpleadores_ActividadesNoDiferenciadasHogaresComoProductoresBienesyServiciosUsoPropio,ActividadEconomica_ActividadesOrganizaciones_OrganosExtraterritoriales,ActividadEconomica_RamaNoDeclarada,ActividadEconomica_NoAplica,ActividadEconomica_Missing
81,6,61,6104,19597,9759,9747,1314,2222,12886,2153,71,12763,6436,8.0,11.0,24.0,2.0,16.0,71.0,266.0,5173,13044,1025,355.0,1163,1442,2068,1908,5566,1309,1707,777,2035,1025,597.0,411,322,420,60,7212,836,4341,2356,225,75,873.0,1008.0,37.0,3.0,1025.0,393.0,8811,9216,1025,545,1037,17957,603.0,933,26,3,2.0,8.0,6.0,8.0,51.0,17957.0,603.0,,,7540,145,391,645.0,1328.0,2697.0,1995.0,524.0,4090.0,242.0,11279,242,2498,80,582.0,14.0,22.0,511.0,1364.0,559.0,132.0,33.0,23.0,10.0,74.0,134.0,228.0,391.0,171.0,40.0,68.0,217.0,925.0,
82,6,61,6105,20887,10372,10467,1455,2499,13908,2200,112,11214,9155,24.0,43.0,6.0,33.0,32.0,53.0,327.0,5996,13406,986,499.0,1308,1433,2437,1996,6461,1499,1461,657,1888,986,761.0,510,321,465,57,6252,869,5391,2269,255,95,1268.0,1612.0,81.0,6.0,986.0,450.0,10409,8797,986,695,1139,18774,974.0,1037,20,7,2.0,1.0,16.0,1.0,1.0,54.0,18774.0,974.0,,8264,149,484,665.0,1473.0,2559.0,1754.0,628.0,4503.0,408.0,11582,408,1154,172,961.0,25.0,40.0,742.0,1153.0,687.0,244.0,45.0,48.0,14.0,149.0,471.0,318.0,483.0,262.0,68.0,115.0,254.0,1492.0,
83,6,61,6106,33437,16589,16770,2552,4299,22382,2911,291,18424,14017,46.0,69.0,129.0,40.0,20.0,163.0,529.0,10190,20849,1687,711.0,2134,2483,3778,3321,10094,2545,2110,1044,2995,1687,1246.0,791,524,783,138,9994,929,8312,3700,456,138,2159.0,2963.0,109.0,14.0,1687.0,740.0,16807,13826,1687,1117,3130,29384,923.0,2826,70,10,1.0,52.0,8.0,21.0,5.0,1.0,136.0,29384.0,923.0,13834,159,718,1146.0,2452.0,3521.0,2360.0,892.0,7762.0,593.0,18133,593,3202,246,1179.0,45.0,62.0,942.0,2167.0,837.0,400.0,130.0,94.0,43.0,288.0,537.0,578.0,947.0,496.0,193.0,157.0,294.0,1.0,1873.0
84,6,61,6107,24640,12587,11945,1572,2668,16458,2834,406,14213,9428,166.0,55.0,159.0,35.0,20.0,121.0,443.0,6143,16374,1503,620.0,1360,1744,2501,2346,6707,1721,1827,964,2866,1503,1101.0,481,349,518,72,9304,818,6558,2015,224,66,902.0,1169.0,60.0,10.0,1503.0,591.0,11012,11276,1503,849,1964,21666,1010.0,1718,76,3,1.0,60.0,5.0,11.0,4.0,86.0,21666.0,1010.0,,9960,237,589,680.0,1363.0,3315.0,2391.0,768.0,4886.0,451.0,13403,451,3193,27,483.0,11.0,57.0,809.0,1733.0,506.0,307.0,42.0,39.0,22.0,84.0,418.0,331.0,556.0,240.0,53.0,96.0,396.0,1383.0,
85,6,61,6108,52505,25502,26856,4371,7172,35231,3907,972,19968,30378,132.0,180.0,14.0,139.0,175.0,630.0,889.0,16907,32029,2380,1189.0,3917,3559,6615,5146,13738,6592,3756,1633,3383,2380,1786.0,1600,1010,1271,181,12187,1033,9834,4571,782,293,4126.0,10947.0,1077.0,117.0,2380.0,1096.0,29035,19456,2380,1634,3334,47906,1265.0,2854,122,10,16.0,23.0,28.0,82.0,7.0,3.0,189.0,47906.0,1265.0,21462,372,1195,1676.0,3908.0,5380.0,3101.0,1484.0,12929.0,998.0,28478,998,855,2438,935.0,136.0,101.0,2002.0,2654.0,962.0,656.0,317.0,445.0,124.0,1044.0,927.0,1318.0,1772.0,1617.0,230.0,344.0,867.0,1.0,3284.0
86,6,61,6109,13407,6816,6587,714,1239,8973,1415,61,8068,5003,10.0,6.0,13.0,4.0,3.0,70.0,230.0,3325,9178,601,303.0,736,997,1404,1289,3714,916,1051,555,1798,601,346.0,297,175,252,62,5243,583,2965,1449,163,70,578.0,732.0,26.0,5.0,601.0,206.0,6226,6283,601,297,778,12209,420.0,714,8,2,13.0,1.0,40.0,12209.0,420.0,,,,,5303,126,249,380.0,907.0,1876.0,1427.0,432.0,2549.0,158.0,7571,158,1673,31,809.0,12.0,29.0,272.0,751.0,310.0,133.0,22.0,29.0,2.0,75.0,151.0,174.0,234.0,127.0,24.0,42.0,134.0,644.0,
87,6,61,6110,25343,12645,12668,1805,3053,16840,2527,73,15314,9427,17.0,29.0,6.0,12.0,28.0,103.0,407.0,7441,16003,1266,633.0,1585,1957,2885,2414,7703,1672,1757,851,2442,1266,811.0,553,446,561,128,8036,971,6550,2858,362,116,1337.0,1611.0,70.0,10.0,1266.0,468.0,12347,10997,1266,733,1700,22919,724.0,1540,37,9,11.0,4.0,15.0,4.0,1.0,79.0,22919.0,724.0,,10104,127,527,802.0,1844.0,3117.0,2094.0,846.0,5513.0,369.0,14216,369,2029,120,862.0,50.0,53.0,898.0,1588.0,647.0,371.0,96.0,46.0,15.0,179.0,580.0,337.0,512.0,282.0,215.0,98.0,328.0,1452.0,
88,6,61,6111,13608,6822,6786,1019,1650,9236,1349,36,6287,7023,10.0,13.0,1.0,6.0,14.0,54.0,200.0,3853,8737,722,296.0,793,1000,1515,1237,3842,1054,929,526,1579,722,411.0,292,203,290,43,4703,456,2779,1695,137,65,694.0,1213.0,69.0,6.0,722.0,241.0,6562,5957,722,367,1020,12203,385.0,928,12,4,3.0,25.0,1.0,47.0,12203.0,385.0,,,,5646,107,289,348.0,949.0,1725.0,1010.0,402.0,2879.0,253.0,7313,253,1268,209,374.0,17.0,42.0,416.0,900.0,435.0,139.0,37.0,43.0,16.0,110.0,244.0,179.0,257.0,215.0,33.0,65.0,198.0,845.0,
89,6,61,6112,14313,7229,7062,865,1527,9675,1690,33,10048,3986,8.0,11.0,5.0,2.0,5.0,39.0,209.0,3660,9737,651,265.0,847,1080,1552,1326,4138,1087,1146,596,1556,651,334.0,333,212,293,42,5120,577,3694,1356,206,53,679.0,871.0,30.0,3.0,651.0,193.0,6774,6593,651,295,859,13011,443.0,799,3,2,1.0,1.0,4.0,49.0,13011.0,443.0,,,,5990,77,342,343.0,839.0,1774.0,1435.0,462.0,2812.0,239.0,7665,239,1867,37,724.0,11.0,29.0,267.0,1115.0,297.0,120.0,31.0,33.0,4.0,82.0,150.0,317.0,351.0,169.0,21.0,53.0,151.0,580.0,
90,6,61,6113,19714,10012,9565,1212,1934,13159,2415,101,13423,5734,31.0,12.0,43.0,9.0,19.0,59.0,384.0,4781,13575,946,412.0,1109,1389,2108,1885,5404,1409,1369,731,2697,946,667.0,434,269,396,81,8048,787,5144,1306,152,31,717.0,933.0,38.0,3.0,946.0,429.0,8931,9222,946,615,743,18224,747.0,663,13,3,4.0,2.0,2.0,3.0,53.0,18224.0,747.0,,,7732,162,394,464.0,1099.0,3008.0,2222.0,537.0,3785.0,311.0,11115,311,3211,20,625.0,15.0,42.0,454.0,1143.0,388.0,143.0,15.0,12.0,6.0,77.0,150.0,272.0,439.0,167.0,54.0,67.0,169.0,819.0,
