,Codigo_region,Codigo_provincia,Codigo_comuna,PERSONAS,HOMBRES,MUJERES,EDAD_0A5,EDAD_6A14,EDAD_15A64,EDAD_65YMAS,INMIGRANTES,LugarNacimiento_Enestacomuna,LugarNacimiento_Enotracomuna,LugarNacimiento_Peru,LugarNacimiento_Argentina,LugarNacimiento_Bolivia,LugarNacimiento_Ecuador,LugarNacimiento_Colombia,LugarNacimiento_Otro,LugarNacimiento_Missing,EducacionFormal_Si,EducacionFormal_Noasisteactualmente,EducacionFormal_Nuncaasistio,EducacionFormal_Missing,UltimoAñoEscolarAprobado_0,UltimoAñoEscolarAprobado_1°,UltimoAñoEscolarAprobado_2°,UltimoAñoEscolarAprobado_3°,UltimoAñoEscolarAprobado_4°,UltimoAñoEscolarAprobado_5°,UltimoAñoEscolarAprobado_6°,UltimoAñoEscolarAprobado_7°,UltimoAñoEscolarAprobado_8°,UltimoAñoEscolarAprobado_Noaplica,UltimoAñoEscolarAprobado_Missing,NivelEducacional_SalaCuna_JardinInfantil,NivelEducacional_Prekinder,NivelEducacional_Kinder,NivelEducacional_Especial_Diferencial,NivelEducacional_EducacionBasica,NivelEducacional_Primaria_Preparatorio,NivelEducacional_CientificoHumanista,NivelEducacional_TecnicaProfesional,NivelEducacional_Humanidades,NivelEducacional_Tecnica_ComercialIndustrialNormalista,NivelEducacional_TecnicoSuperior,NivelEducacional_Profesional,NivelEducacional_Magister,NivelEducacional_Doctorado,NivelEducacional_Noaplica,NivelEducacional_Missing,NivelEducacionalCompleto_Si,NivelEducacionalCompleto_No,NivelEducacionalCompleto_Noaplica,NivelEducacionalCompleto_Missing,PertenenciaComunidadIndigena_Si,PertenenciaComunidadIndigena_No,PertenenciaComunidadIndigena_Missing,ComunidadIndigena_Mapuche,ComunidadIndigena_Aymara,ComunidadIndigena_RapaNui,ComunidadIndigena_LicanAntai,ComunidadIndigena_Quechua,ComunidadIndigena_Colla,ComunidadIndigena_Diaguita,ComunidadIndigena_Kawesqar,ComunidadIndigena_YaganoYamana,ComunidadIndigena_OtroPueblo,ComunidadIndigena_Noaplica,ComunidadIndigena_Missing,TrabajoSemanaAnterior_PorPago,TrabajoSemanaAnterior_SinPago,TrabajoSemanaAnterior_Empleado_VacacionesLicenciaDescanso,TrabajoSemanaAnterior_BuscandoEmpleo,TrabajoSemanaAnterior_Estudiando,TrabajoSemanaAnterior_QuehaceresHogar,TrabajoSemanaAnterior_Jubilado_Pensionado_Rentista,TrabajoSemanaAnterior_OtraSituacion,TrabajoSemanaAnterior_NoAplica,TrabajoSemanaAnterior_Missing,ActividadEconomica_Agricultura_Ganaderia_Silvicultura_Pesca,ActividadEconomica_ExplotacionMinas_Canteras,ActividadEconomica_Industrias_Manufactureras,ActividadEconomica_SuministroElectricidad_Gas_Vapor_AireAcondicionado,ActividadEconomica_SuministroAgua_EvacuacionAguasResiduales_GestionDesechosDescontaminacion,ActividadEconomica_Construccion,ActividadEconomica_Comercio_ReparacionVehiculosAutomotoresMotocicletas,ActividadEconomica_Transporte_Almacenamiento,ActividadEconomica_ActividadesAlojamiento_ServiciosComidas,ActividadEconomica_Informacion_Comunicaciones,ActividadEconomica_ActividadesFinancieras_Seguros,ActividadEconomica_ActividadesInmobiliarias,ActividadEconomica_ActividadesProfesionales_Cientificas_Tecnicas,ActividadEconomica_ActividadesServiciosAdministrativos_Apoyo,ActividadEconomica_AdministracionPublica_Defensa_PlanesSeguirdadSocialAfiliacionObligatoria,ActividadEconomica_Ensenanza,ActividadEconomica_ActividadesAtencionSaludHumana_AsistenciaSocial,ActividadEconomica_ActividadesArtisticas_Entretenimiento_Recreativas,ActividadEconomica_OtrasActividadesServicios,ActividadEconomica_ActividadesHogaresComoEmpleadores_ActividadesNoDiferenciadasHogaresComoProductoresBienesyServiciosUsoPropio,ActividadEconomica_ActividadesOrganizaciones_OrganosExtraterritoriales,ActividadEconomica_RamaNoDeclarada,ActividadEconomica_NoAplica,ActividadEconomica_Missing
0,1,11,1101,191468,94674,96474,15490,22691,132629,16895,26777,88151,71473,8856.0,784.0,11256.0,933.0,2606.0,4386.0,3023.0,58282,122415,7007,3764.0,13335,13771,23400,21205,60285,21578,10804,4330,9910,7007,5843.0,5890,2977,4311,629,35364,3734,42856,26764,3945,2260,14681.0,35222.0,2288.0,281.0,7007.0,3259.0,106395,72933,7007,5133,33021,154264,4183.0,5695,18529,49,407.0,3706.0,391.0,2455.0,16.0,20.0,1753.0,154264.0,4183.0,85594,1241,4450,6904.0,15250.0,14936.0,12854.0,6888.0,40588.0,2763.0,97420,2763,966,3178,3555.0,240.0,380.0,6281.0,17671.0,7322.0,5440.0,1057.0,1239.0,1053.0,2878.0,4207.0,7692.0,6951.0,4437.0,794.0,1891.0,2184.0,9.0,11860.0
1,1,11,1107,108375,54169,54145,10105,17365,72866,3908,12129,27346,65333,4265.0,284.0,6541.0,419.0,1038.0,580.0,2569.0,39723,60785,4752,3115.0,10191,8974,12045,10113,34094,6237,4776,3120,9037,4752,5036.0,4592,2302,3166,482,31291,1257,25030,19924,969,406,4220.0,6395.0,178.0,12.0,4752.0,3399.0,51031,47795,4752,4797,32079,72775,3521.0,5397,20034,29,314.0,2412.0,285.0,2608.0,7.0,7.0,986.0,72775.0,3521.0,41022,922,2161,4104.0,8430.0,9101.0,3325.0,6056.0,30685.0,2569.0,61701,2569,364,1439,2287.0,89.0,236.0,4588.0,9826.0,4470.0,2052.0,360.0,206.0,268.0,651.0,2751.0,1827.0,2634.0,1190.0,201.0,776.0,808.0,3.0,7079.0
2,1,14,1401,15711,8889,6698,899,1786,9446,864,1680,4754,8814,342.0,24.0,1206.0,23.0,227.0,96.0,225.0,4509,10106,713,383.0,1186,1095,1999,1404,5286,966,859,386,1286,713,531.0,532,273,380,19,4181,302,3790,2748,159,69,979.0,1136.0,68.0,4.0,713.0,358.0,8175,6230,713,593,6616,8757,338.0,791,4008,2,50.0,543.0,76.0,975.0,1.0,2.0,168.0,8757.0,338.0,6699,177,917,643.0,773.0,1212.0,771.0,602.0,3619.0,298.0,7620,298,302,1574,234.0,65.0,54.0,644.0,733.0,418.0,364.0,22.0,15.0,7.0,92.0,305.0,1424.0,273.0,83.0,31.0,83.0,64.0,1006.0,
3,1,14,1402,1250,657,593,73,134,772,136,113,633,379,22.0,1.0,156.0,4.0,4.0,51.0,,349,729,122,50.0,75,58,110,110,279,75,95,31,185,122,110.0,42,5,28,518,35,181,145,1,1,22,62.0,12.0,1.0,122.0,75.0,,527,500,122,101,1071,149,30.0,15,957,67,1.0,2.0,29.0,149.0,30.0,,,,,447,148,13,24.0,61.0,105.0,104.0,49.0,275.0,24.0,618,24,283,1,9.0,2.0,33.0,44.0,13.0,24.0,1.0,7.0,17.0,53.0,41.0,12.0,3.0,65.0,,,,,,
4,1,14,1403,1728,983,725,75,111,1246,148,207,855,321,9.0,2.0,458.0,6.0,7.0,70.0,,437,1013,160,118.0,68,100,200,159,410,137,102,38,199,160,155.0,29,12,27,7,661,18,213,213,6,1,110.0,149.0,9.0,3.0,160.0,110.0,729,705,160,134,1403,253,72.0,12,1230,1,119.0,11.0,4.0,26.0,253.0,72.0,,,,723,181,58,50.0,83.0,134.0,85.0,84.0,252.0,78.0,688,78,234,8,25.0,2.0,1.0,77.0,157.0,76.0,18.0,1.0,6.0,13.0,148.0,29.0,12.0,1.0,8.0,13.0,133.0,,,
5,1,14,1404,2730,1462,1194,133,249,1684,266,356,1054,1163,86.0,8.0,326.0,4.0,13.0,16.0,60.0,727,1709,192,102.0,173,187,278,280,708,170,221,86,267,192,168.0,74,36,63,3,1024,98,510,343,19,20,95.0,135.0,11.0,1.0,192.0,106.0,1142,1263,192,133,1649,965,116.0,52,1369,1,3.0,142.0,2.0,35.0,45.0,965.0,116.0,,,1130,218,48,78.0,96.0,172.0,221.0,76.0,621.0,70.0,1264,70,448,42,25.0,11.0,5.0,149.0,138.0,55.0,93.0,4.0,2.0,21.0,40.0,79.0,61.0,26.0,5.0,6.0,10.0,176.0,,
6,1,14,1405,9296,6488,2699,314,524,7348,567,979,1876,6168,144.0,20.0,837.0,10.0,17.0,46.0,178.0,1788,7056,188,264.0,409,473,1100,854,3794,874,575,158,497,188,374.0,200,75,132,19,1475,137,2056,2010,78,63,995.0,1499.0,153.0,5.0,188.0,211.0,6099,2621,188,388,4226,4868,202.0,405,2837,3,41.0,591.0,28.0,234.0,2.0,85.0,4868.0,202.0,,3825,136,2584,191.0,239.0,349.0,484.0,180.0,1163.0,145.0,2606,145,324,1970,424.0,15.0,42.0,911.0,503.0,270.0,513.0,34.0,3.0,6.0,151.0,262.0,287.0,171.0,95.0,23.0,28.0,47.0,466.0,
7,2,21,2101,361873,181523,179907,25010,42376,255964,26035,36000,189673,126765,7886.0,1275.0,8716.0,1238.0,15752.0,3391.0,7177.0,116181,221590,14465,9637.0,22875,26938,47483,35812,115061,33664,20325,8217,22620,14465,14413.0,9518,5095,8011,1296,71800,6068,81128,53259,5956,2993,27914.0,60800.0,3799.0,738.0,14465.0,9033.0,197951,136236,14465,13221,28174,321295,12404.0,10179,6195,67,2789.0,2098.0,470.0,4025.0,43.0,26.0,2282.0,321295.0,12404.0,153397,2003,9384,14496.0,32766.0,32902.0,19270.0,13556.0,76260.0,7839.0,189250,7839,912,15098,9229.0,854.0,892.0,12628.0,23896.0,12690.0,6872.0,1998.0,1804.0,737.0,6040.0,9208.0,7954.0,10314.0,7467.0,1443.0,3294.0,3542.0,10.0,27902.0
8,2,21,2102,13467,8014,5419,830,1378,10002,597,1824,4137,7107,119.0,36.0,1339.0,23.0,307.0,140.0,259.0,3395,9210,498,364.0,795,929,1581,1144,5117,756,589,303,1122,498,633.0,335,175,277,41,3063,222,4078,2325,103,61,854.0,1003.0,25.0,5.0,498.0,402.0,7470,4880,498,619,1245,11578,644.0,612,208,9,33.0,128.0,25.0,97.0,133.0,11578.0,644.0,,,6976,75,371,470.0,700.0,1165.0,455.0,375.0,2638.0,242.0,5803,242,218,178,532.0,118.0,38.0,1872.0,507.0,780.0,420.0,22.0,23.0,10.0,128.0,554.0,217.0,206.0,94.0,35.0,52.0,60.0,1.0,1357.0
9,2,21,2103,10186,8039,1132,84,188,7898,46,575,607,8960,121.0,32.0,303.0,14.0,57.0,62.0,30.0,1020,9002,53,111.0,102,457,1469,980,5090,902,571,103,329,53,130.0,46,25,31,602,26,2757,2434,38,40,1510,2306.0,262.0,3.0,53.0,53.0,,7954,2047,53,132,1386,8732,68.0,487,355,3,133.0,98.0,42.0,198.0,1.0,69.0,8732.0,68.0,,6449,47,2997,133.0,82.0,83.0,20.0,35.0,320.0,20.0,673,20,6746,261,4.0,112.0,462.0,308.0,289.0,177.0,24.0,3.0,95.0,333.0,67.0,34.0,29.0,9.0,18.0,9.0,1.0,512.0,,
10,2,21,2104,13317,7168,5785,836,1538,8250,1035,344,7122,5365,154.0,20.0,96.0,30.0,136.0,54.0,340.0,3427,8786,561,543.0,804,875,1464,1175,4340,883,801,340,1320,561,754.0,348,176,272,34,3782,311,2825,2601,156,89,670.0,1025.0,45.0,5.0,561.0,417.0,6939,5208,561,609,3393,9229,695.0,358,101,1,29.0,43.0,66.0,231.0,1.0,2563.0,9229.0,695.0,,5785,109,873,390.0,530.0,1259.0,724.0,459.0,2830.0,358.0,6192,358,563,1612,223.0,23.0,26.0,527.0,662.0,321.0,337.0,33.0,13.0,14.0,150.0,203.0,288.0,291.0,151.0,20.0,75.0,88.0,1147.0,
11,2,22,2201,165731,85924,79599,11390,20315,116291,9436,18097,85296,55280,2694.0,621.0,12198.0,254.0,2619.0,1216.0,5553.0,48339,102915,8268,6209.0,9719,10797,19908,15404,57519,12586,8070,3730,10854,8268,8876.0,3849,2178,3610,584,35342,2165,41401,24017,1795,971,13498.0,20699.0,1128.0,115.0,8268.0,6111.0,91503,57557,8268,8403,39724,119810,6197.0,4366,4918,15,18100.0,7207.0,341.0,3431.0,31.0,20.0,1295.0,119810.0,6197.0,69485,1189,5377,6853.0,10761.0,16181.0,7271.0,6877.0,36923.0,4814.0,84866,4814,366,9314,3764.0,201.0,295.0,7218.0,9933.0,5486.0,3591.0,691.0,597.0,149.0,2436.0,4143.0,2328.0,3200.0,2749.0,428.0,1149.0,1535.0,16478.0,
12,2,22,2202,321,164,111,20,32,196,21,83,70,159,5.0,81.0,1.0,5.0,,,,72,223,19,7.0,17,23,33,27,116,26,16,7,21,19,16.0,9,3,5,90,6,70,47,2,25,34,3.0,19.0,8.0,,,,169,119,19,14,215,99,7.0,4,15,7,181.0,5.0,3.0,99.0,7.0,,,,,188,6,13,6.0,10.0,10.0,15.0,7.0,58.0,8.0,106,8,25,2,1.0,40.0,3.0,8.0,7.0,7.0,7.0,7.0,48.0,12.0,1.0,2.0,4.0,33.0,,,,,,
13,2,22,2203,10996,6104,4811,488,872,8205,585,1526,3550,4937,218.0,178.0,1083.0,10.0,54.0,647.0,319.0,2300,7864,501,331.0,573,551,1304,1010,3973,1071,548,203,727,501,535.0,260,115,194,13,2212,131,2410,1757,50,50,906.0,1846.0,203.0,52.0,501.0,296.0,6586,3434,501,475,5523,5196,277.0,332,335,4,4068.0,531.0,25.0,80.0,5.0,2.0,141.0,5196.0,277.0,6153,210,645,246.0,347.0,579.0,406.0,353.0,1799.0,258.0,3730,258,180,755,245.0,15.0,53.0,810.0,462.0,344.0,1215.0,45.0,30.0,11.0,226.0,750.0,194.0,260.0,167.0,81.0,57.0,46.0,1.0,1061.0
14,2,23,2301,25186,12414,12675,1954,3298,16253,2384,1187,16243,6695,243.0,25.0,516.0,22.0,467.0,158.0,817.0,7353,15952,966,915.0,1933,1791,2791,2234,8073,1512,1439,630,2266,966,1551.0,764,456,703,145,6653,664,6511,3700,459,150,1285.0,1764.0,49.0,6.0,966.0,911.0,12908,9936,966,1376,1965,21949,1272.0,849,417,4,65.0,114.0,20.0,288.0,2.0,2.0,204.0,21949.0,1272.0,9119,241,479,1251.0,1353.0,2783.0,1939.0,1321.0,6033.0,667.0,14680,667,469,488,546.0,257.0,51.0,703.0,1341.0,767.0,496.0,51.0,61.0,7.0,193.0,558.0,499.0,703.0,323.0,53.0,135.0,206.0,1932.0,
15,2,23,2302,6457,3874,2354,151,500,4687,160,366,2463,3422,63.0,28.0,246.0,7.0,100.0,29.0,99.0,1346,4782,191,138.0,265,388,753,603,2806,404,328,168,439,191,112.0,100,53,112,2,1268,57,1852,1294,65,14,532.0,791.0,45.0,2.0,191.0,79.0,4077,2069,191,120,787,5454,216.0,243,317,38,46.0,18.0,70.0,4.0,51.0,5454.0,216.0,,,3361,40,686,192.0,237.0,478.0,157.0,182.0,1001.0,123.0,2247,123,8,997,189.0,50.0,29.0,513.0,250.0,285.0,245.0,34.0,9.0,1.0,112.0,298.0,74.0,125.0,68.0,14.0,15.0,10.0,761.0,
16,3,31,3101,153937,76387,77176,11045,18610,104175,11831,4988,88004,58379,1118.0,324.0,2010.0,370.0,1454.0,778.0,1500.0,48866,95845,6985,2241.0,11440,12328,19157,16714,47143,13716,8662,3830,11287,6985,2675.0,4781,2719,3740,630,35106,3540,36296,18400,2868,1070,11684.0,22917.0,900.0,177.0,6985.0,2124.0,81132,63249,6985,2571,27078,125052,1807.0,5133,1699,43,206.0,624.0,9564.0,9023.0,12.0,8.0,766.0,125052.0,1807.0,60912,354,2280,6416.0,14426.0,17987.0,10275.0,4380.0,35492.0,1415.0,88976,1415,1648,10123,2382.0,398.0,499.0,5160.0,11297.0,4457.0,2500.0,739.0,759.0,207.0,1410.0,2962.0,5550.0,4682.0,2414.0,478.0,800.0,1181.0,2.0,3898.0
17,3,31,3102,17662,9007,8532,823,2012,11423,1220,264,6277,10398,90.0,57.0,105.0,72.0,104.0,97.0,462.0,5562,10887,659,554.0,1332,1360,2223,1660,5374,1183,950,424,1584,659,913.0,566,290,466,51,4573,408,4794,2047,334,127,1182.0,1553.0,70.0,7.0,659.0,535.0,9069,7058,659,876,3129,13742,791.0,828,161,2,33.0,38.0,642.0,1256.0,2.0,3.0,164.0,13742.0,791.0,7518,125,389,593.0,1222.0,1634.0,1203.0,532.0,4004.0,442.0,9188,442,939,273,384.0,12.0,47.0,759.0,1145.0,531.0,543.0,37.0,32.0,19.0,145.0,382.0,430.0,444.0,183.0,99.0,82.0,91.0,1455.0,
18,3,31,3103,14019,7603,6120,832,1708,8774,860,388,7741,5591,77.0,25.0,345.0,16.0,75.0,58.0,91.0,4022,9096,688,213.0,1031,1059,1593,1321,4564,749,756,452,1563,688,243.0,468,212,337,44,4542,358,3293,2379,127,44,606.0,733.0,25.0,2.0,688.0,161.0,6882,6238,688,211,4375,9526,118.0,823,153,6,109.0,2511.0,684.0,2.0,3.0,84.0,9526.0,118.0,,5504,26,388,792.0,1046.0,1929.0,785.0,309.0,3154.0,86.0,8015,86,1324,1580,144.0,28.0,26.0,234.0,724.0,257.0,246.0,13.0,7.0,1.0,49.0,181.0,248.0,235.0,48.0,12.0,23.0,55.0,483.0,
19,3,32,3201,12219,6189,5922,702,1445,7820,1008,91,7298,4696,45.0,9.0,36.0,1.0,48.0,26.0,60.0,3590,7969,542,118.0,963,940,1318,1107,4105,821,727,371,1164,542,161.0,417,207,282,97,3347,554,2680,2138,189,90,648.0,893.0,18.0,542.0,117.0,,6475,4968,542,234,1299,10823,97.0,414,107,13,13.0,238.0,350.0,1.0,163.0,10823.0,97.0,,,4549,51,179,610.0,808.0,1549.0,1092.0,345.0,2948.0,88.0,7352,88,318,921,138.0,35.0,20.0,430.0,696.0,351.0,273.0,23.0,22.0,8.0,55.0,137.0,807.0,138.0,95.0,27.0,52.0,23.0,210.0,
20,3,32,3202,13925,7133,6255,618,1590,9185,626,224,6321,7067,85.0,30.0,56.0,24.0,116.0,108.0,118.0,4082,9183,452,208.0,1079,968,1605,1366,4874,1087,790,369,1041,452,294.0,508,197,355,69,3282,325,3457,2215,147,69,997.0,1523.0,76.0,6.0,452.0,247.0,7808,5360,452,305,1789,11979,157.0,428,116,1,15.0,24.0,647.0,497.0,3.0,58.0,11979.0,157.0,,5846,19,412,620.0,865.0,1942.0,642.0,186.0,3273.0,120.0,7528,120,21,2306,157.0,83.0,42.0,532.0,530.0,363.0,297.0,31.0,37.0,2.0,114.0,303.0,427.0,370.0,148.0,42.0,49.0,69.0,354.0,
21,3,33,3301,51917,25334,26439,3662,5820,33565,5712,686,34890,14706,74.0,56.0,268.0,35.0,275.0,329.0,1284.0,14965,32767,2739,1446.0,3843,3679,5617,5026,16469,4235,3039,1419,4064,2739,1787.0,1674,921,1197,249,13586,1336,11111,9102,766,570,2827.0,4418.0,176.0,38.0,2739.0,1207.0,26511,20727,2739,1940,12369,37954,1594.0,842,285,3,74.0,87.0,324.0,10428.0,6.0,320.0,37954.0,1594.0,,19505,467,1114,2600.0,2850.0,6061.0,4437.0,1806.0,11852.0,1225.0,29606,1225,954,1768,1046.0,259.0,102.0,1641.0,3248.0,1558.0,910.0,140.0,150.0,37.0,490.0,869.0,1182.0,1470.0,969.0,102.0,271.0,485.0,3435.0,
22,3,33,3302,5299,2560,2289,220,464,3044,699,46,3294,1736,9.0,9.0,16.0,1.0,4.0,48.0,182.0,1327,3387,397,188.0,319,270,525,425,1722,311,375,141,548,397,266.0,150,52,114,8,1771,215,988,871,49,31,165.0,281.0,15.0,397.0,192.0,,2494,2144,397,264,2723,2412,164.0,78,19,2,13.0,6.0,14.0,2550.0,1.0,40.0,2412.0,164.0,,1900,139,149,256.0,168.0,717.0,561.0,211.0,1023.0,175.0,2936,175,693,101,66.0,9.0,37.0,153.0,136.0,68.0,80.0,4.0,1.0,34.0,71.0,131.0,138.0,52.0,8.0,7.0,15.0,384.0,,
23,3,33,3303,7041,3466,3447,444,675,4428,749,22,4461,2449,14.0,2.0,2.0,2.0,7.0,17.0,87.0,1951,4492,478,120.0,561,466,785,626,2141,394,434,204,733,478,219.0,270,139,148,23,2281,209,1519,1086,65,25,312.0,334.0,18.0,478.0,134.0,,3352,2994,478,217,1106,5775,160.0,135,58,2,5.0,4.0,41.0,757.0,1.0,103.0,5775.0,160.0,,2664,56,163,287.0,367.0,964.0,620.0,197.0,1626.0,97.0,4061,97,438,167,167.0,26.0,20.0,339.0,250.0,165.0,99.0,10.0,10.0,1.0,33.0,160.0,219.0,167.0,74.0,9.0,19.0,56.0,454.0,
24,3,33,3304,10149,5195,4872,516,980,6565,1006,107,5063,4608,8.0,15.0,39.0,13.0,59.0,65.0,279.0,2805,6672,401,271.0,845,664,1107,951,3340,737,620,260,834,401,390.0,398,167,271,32,2626,302,2392,1503,196,97,628.0,847.0,24.0,2.0,401.0,263.0,5407,3935,401,406,1545,8248,356.0,339,118,2,10.0,11.0,73.0,836.0,2.0,154.0,8248.0,356.0,,4131,90,247,433.0,478.0,1112.0,849.0,309.0,2250.0,250.0,5431,250,387,157,262.0,110.0,17.0,397.0,466.0,301.0,216.0,21.0,12.0,7.0,85.0,261.0,206.0,331.0,182.0,23.0,35.0,67.0,925.0,
25,4,41,4101,221054,105479,114965,14735,25192,149178,21631,4091,107225,103943,753.0,738.0,305.0,219.0,1428.0,2360.0,4083.0,73183,134691,8232,4948.0,15463,16171,27558,22825,67791,22750,13784,5484,13622,8232,7374.0,6654,3535,5047,956,45201,5006,47501,28690,4752,1872,16345.0,39812.0,2529.0,507.0,8232.0,4415.0,119169,86697,8232,6956,18994,195498,6562.0,6775,1996,54,412.0,270.0,758.0,7470.0,42.0,19.0,1198.0,195498.0,6562.0,82376,1580,4228,8793.0,23774.0,22674.0,17908.0,8489.0,46938.0,4294.0,128576,4294,2796,4291,3726.0,290.0,358.0,8082.0,14839.0,4862.0,4092.0,1053.0,1143.0,742.0,3151.0,4233.0,4227.0,8144.0,4470.0,828.0,1753.0,2388.0,4.0,12712.0
26,4,41,4102,227730,109616,117687,15965,25890,151860,21361,4002,115565,101674,712.0,715.0,402.0,365.0,1365.0,2105.0,4827.0,72338,140127,9628,5637.0,16572,17246,27517,22577,71881,20007,12702,5890,15223,9628,8487.0,7007,3890,5454,1101,50785,5527,52386,33468,4710,2369,15424.0,29419.0,1331.0,232.0,9628.0,4999.0,119026,91238,9628,7838,18274,201006,8450.0,7752,1649,47,307.0,302.0,647.0,6185.0,28.0,34.0,1323.0,201006.0,8450.0,87298,1566,4552,8878.0,20685.0,24411.0,17823.0,6804.0,51008.0,4705.0,129609,4705,4711,3373,4542.0,361.0,373.0,9705.0,16703.0,6659.0,4192.0,876.0,865.0,614.0,2454.0,4279.0,3836.0,7028.0,3955.0,878.0,1682.0,2472.0,44.0,13814.0
27,4,41,4103,11044,5450,5487,599,1142,7019,1141,0,8452,2420,17.0,6.0,4.0,10.0,11.0,124.0,,3084,7239,618,103.0,778,749,1211,992,3714,660,848,343,995,618,136.0,302,198,276,19,3518,491,3126,1186,85,33,525.0,556.0,10.0,2.0,618.0,99.0,5512,4768,618,146,692,10207,145.0,257,89,3,9.0,18.0,19.0,259.0,2.0,6.0,30.0,10207.0,145.0,3745,54,153,532.0,787.0,1704.0,1159.0,349.0,2454.0,107.0,6985,107,153,974,191.0,13.0,39.0,391.0,432.0,244.0,135.0,15.0,3.0,9.0,59.0,174.0,209.0,239.0,85.0,17.0,43.0,81.0,2.0,444.0
28,4,41,4104,4241,2139,1961,285,370,2139,450,32,2646,1431,11.0,3.0,11.0,1.0,5.0,23.0,110.0,1086,2702,349,104.0,310,285,424,349,1087,249,316,161,544,349,167.0,133,77,97,18,1721,148,703,580,38,22,105.0,133.0,7.0,6.0,349.0,104.0,1759,1989,349,144,492,3623,126.0,184,41,3,4.0,10.0,173.0,1.0,76.0,3623.0,126.0,,,1617,57,82,159.0,205.0,611.0,338.0,136.0,961.0,75.0,2410,75,451,137,52.0,5.0,23.0,145.0,154.0,77.0,140.0,5.0,3.0,2.0,28.0,105.0,111.0,48.0,36.0,7.0,9.0,11.0,207.0,
29,4,41,4105,4497,2227,2248,175,329,2952,545,50,2749,1554,4.0,25.0,6.0,1.0,8.0,62.0,88.0,1071,3138,151,137.0,272,300,461,402,1406,303,384,134,573,151,111.0,140,50,82,10,1417,211,1069,504,70,20,197.0,451.0,40.0,15.0,151.0,70.0,2403,1825,151,118,364,3910,223.0,135,19,6,13.0,2.0,6.0,167.0,16.0,3910.0,223.0,,,1899,77,153,172.0,218.0,493.0,455.0,117.0,842.0,71.0,2297,71,362,33,126.0,4.0,20.0,199.0,244.0,73.0,221.0,5.0,6.0,4.0,33.0,107.0,260.0,92.0,45.0,13.0,13.0,47.0,222.0,
30,4,41,4106,27771,13691,13912,1630,3170,17891,2829,224,17797,8880,63.0,42.0,140.0,12.0,60.0,163.0,614.0,8022,17765,1364,620.0,1958,1975,3043,2457,8383,1797,1987,992,2863,1364,952.0,783,482,677,68,9057,813,7313,2860,403,129,1206.0,2021.0,72.0,21.0,1364.0,502.0,13443,12095,1364,869,2984,23477,1310.0,777,266,3,9.0,68.0,59.0,1631.0,1.0,4.0,166.0,23477.0,1310.0,10345,228,690,1047.0,1927.0,3505.0,2629.0,771.0,6066.0,563.0,15945,563,2959,554,490.0,19.0,81.0,714.0,1351.0,508.0,498.0,36.0,21.0,17.0,180.0,365.0,552.0,715.0,271.0,57.0,96.0,260.0,1519.0,
31,4,42,4201,30848,14683,16057,1912,3348,19325,3727,142,21760,8297,99.0,47.0,39.0,28.0,37.0,108.0,433.0,8292,20200,1660,696.0,2172,2049,3501,2954,9273,2272,2112,882,3176,1660,797.0,959,491,691,128,10258,929,7201,3594,404,196,1604.0,2137.0,88.0,12.0,1660.0,496.0,15040,13282,1660,866,2090,27544,1214.0,1187,107,2,11.0,40.0,28.0,608.0,2.0,105.0,27544.0,1214.0,,11226,351,569,1190.0,1774.0,4151.0,3301.0,995.0,6761.0,530.0,18172,530,1321,1033,381.0,62.0,95.0,1111.0,1639.0,738.0,476.0,64.0,77.0,15.0,236.0,424.0,790.0,939.0,545.0,59.0,114.0,312.0,1715.0,
32,4,42,4202,9093,4525,4410,316,625,5385,1454,6,7077,1832,5.0,6.0,3.0,13.0,16.0,141.0,,1870,6138,896,189.0,433,534,805,822,2310,560,894,267,1405,896,167.0,198,67,164,19,4178,396,1582,718,51,20,285.0,377.0,10.0,896.0,132.0,,3849,4164,896,184,417,8445,231.0,172,23,1,1.0,1.0,20.0,163.0,36.0,8445.0,231.0,,,2827,213,132,297.0,367.0,1885.0,1354.0,257.0,1660.0,101.0,5820,101,407,149,77.0,10.0,32.0,557.0,355.0,215.0,129.0,12.0,10.0,4.0,25.0,107.0,430.0,139.0,63.0,8.0,17.0,87.0,339.0,
33,4,42,4203,21382,10953,10233,1074,2099,13954,2136,468,12122,8071,154.0,39.0,178.0,21.0,138.0,127.0,532.0,5114,14337,1216,715.0,1393,1331,2262,2072,6313,1605,1422,602,2122,1216,1044.0,565,337,474,94,6787,632,5788,1541,282,102,1252.0,1645.0,81.0,11.0,1216.0,575.0,10532,8810,1216,824,1336,19315,731.0,860,85,4,6.0,95.0,21.0,140.0,4.0,1.0,120.0,19315.0,731.0,9072,290,428,662.0,939.0,2446.0,1995.0,681.0,4479.0,390.0,11202,390,1140,350,305.0,161.0,43.0,1213.0,1502.0,597.0,732.0,50.0,25.0,19.0,152.0,348.0,439.0,555.0,296.0,55.0,128.0,221.0,1459.0,
