,Codigo_comuna,Latitud,Longitud
179,8202,-37.25,-73.3166667
180,8203,-37.8,-73.3833333
181,8204,-38.0,-73.2333333
182,8205,-37.4666667,-73.35
183,8206,-37.6166667,-73.4666667
184,8207,-38.3333333,-73.5
185,8301,-37.4666667,-72.35
186,8302,-37.3333333,-71.6833333
187,8303,-37.0333333,-72.4
188,8304,-37.2666667,-72.7
189,8305,-37.7166667,-72.2333333
190,8306,-37.5,-72.6666667
191,8307,-37.5833333,-72.5166667
192,8308,-37.6666667,-71.9833333
193,8309,-37.4666667,-71.9666667
194,8310,-37.2666667,-72.7166667
195,8311,-37.6666667,-72.0166667
196,8312,-37.2833333,-71.95
197,8313,-37.1333333,-72.5333333
198,8314,-38.05,-71.3166667
199,9101,-38.75,-72.6666667
200,9102,-38.7,-73.1666667
201,9103,-38.9166667,-72.0333333
202,9104,-39.35,-71.5833333
203,9105,-38.95,-72.6333333
204,9106,-38.4,-72.7833333
205,9107,-39.1,-72.6833333
206,9108,-38.5291667,-72.435
207,9109,-39.3666667,-72.6333333
208,9110,-38.85,-71.7
209,9111,-38.7333333,-72.95
210,9112,-38.7666667,-72.6
211,9113,-38.4166667,-72.3833333
212,9114,-38.9833333,-72.65
213,9115,-39.2666667,-71.9666667
214,9116,-38.7833333,-73.4
215,9117,-38.9666667,-73.05
216,9118,-39.2166667,-73.2333333
217,9119,-39.1183333,-72.3794444
218,9120,-39.2666667,-72.2166667
219,9121,-38.6,-72.85
220,9201,-37.8,-72.7166667
221,9202,-37.95,-72.4333333
222,9203,-38.4333333,-71.8833333
223,9204,-38.05,-72.3833333
224,9205,-38.4333333,-71.2333333
225,9206,-37.9666667,-72.8333333
226,9207,-38.15,-72.9166667
227,9208,-38.0166667,-73.0833333
228,9209,-37.6666667,-72.5833333
229,9210,-38.25,-72.6833333
230,9211,-38.2166667,-72.3333333
231,14101,-39.8,-73.2333333
232,14102,-39.8666667,-73.4333333
233,14103,-39.4333333,-72.7666667
234,14104,-39.85,-72.8333333
235,14105,-39.65,-72.95
236,14106,-39.5166667,-72.9666667
237,14107,-40.0666667,-72.8833333
238,14108,-39.6333333,-72.3333333
239,14201,-40.2833333,-73.0833333
240,14202,-40.1333333,-72.4
241,14203,-40.3166667,-72.5
242,14204,-40.3166667,-72.9666667
243,10101,-41.4666667,-72.9333333
244,10102,-41.7666667,-73.1333333
245,10103,-41.5,-72.3166667
246,10104,-41.15,-73.45
247,10105,-41.1166667,-73.1
248,10106,-41.4,-73.4833333
249,10107,-41.25,-73.0166667
250,10108,-41.6166667,-73.6
251,10109,-41.3166667,-72.9833333
252,10201,-42.4666667,-73.8
253,10202,-41.8666667,-73.8333333
254,10203,-42.6166667,-73.8166667
255,10204,-42.4333333,-73.5833333
256,10205,-42.3666667,-73.7
257,10206,-42.5833333,-73.6333333
258,10207,-42.8666667,-73.4666667
259,10208,-43.1,-73.6
260,10209,-42.1333333,-73.5166667
261,10210,-42.5333333,-73.4166667
262,10301,-40.5666667,-73.15
263,10302,-40.9666667,-72.9
264,10303,-40.9166667,-73.1666667
265,10304,-40.6666667,-72.6166667
266,10305,-40.7833333,-73.2333333
267,10306,-40.5166667,-73.4
268,10307,-40.4,-73.0166667
269,10401,-42.9194444,-72.7088889
270,10402,-43.1666667,-71.85
271,10403,-42.0166667,-72.6833333
272,10404,-43.6166667,-71.8
273,11101,-45.5666667,-72.0666667
274,11102,-44.2333,-71.833
275,11201,-45.4,-72.7
276,11202,-44.75,-72.7
277,11203,-43.8833333,-73.7333333
278,11301,-47.2666667,-72.55
279,11302,-48.4666667,-72.5666667
280,11303,-47.8333333,-73.5666667
281,11401,-46.55,-71.7333333
282,11402,-46.3,-71.9333333
283,12101,-53.1669444,-70.9336111
284,12102,-52.25,-71.9166667
285,12103,-52.65,-71.4833333
286,12104,-52.3166667,-69.6833333
287,12201,-54.9333,-67.6167
288,12202,-75.0,-71.5
289,12301,-53.3,-70.3666667
290,12302,-52.7166667,-69.25
291,12303,-53.6666667,-69.9
292,12401,-51.7333333,-72.5166667
293,12402,-51.2666667,-72.35
294,13101,-33.45,-70.6666667
295,13102,-33.4833333,-70.7
296,13103,-33.4166667,-70.7166667
297,13104,-33.35,-70.6166667
298,13105,-33.5666667,-70.7
299,13106,-33.463315,-70.702976
300,13107,-33.35,-70.6666667
301,13108,-33.421988,-70.654932
302,13109,-33.55,-70.6833333
303,13110,-33.55,-70.5666667
304,13111,-33.5833333,-70.5833333
305,13112,-33.5833333,-70.6166667
306,13113,-33.45,-70.55
307,13114,-33.4166667,-70.5833333
308,13115,-33.35,-70.5166667
309,13116,-33.5333333,-70.7166667
